Category,Year,Month,Day,Daily Rainfall Total (mm)
Default,2014,3,25,0.0
Default,2014,3,26,0.0
Default,2014,3,27,0.0
Default,2014,3,28,0.0
Default,2014,3,29,0.4
Default,2014,3,30,0.0
Default,2014,3,31,0.0
Default,2014,4,1,2.0
Default,2014,4,2,0.0
Default,2014,4,3,0.0
Default,2014,4,4,0.0
Default,2014,4,5,23.6
Default,2014,4,6,0.0
Default,2014,4,7,10.0
Default,2014,4,8,6.6
Default,2014,4,9,1.8
Default,2014,4,10,0.0
Default,2014,4,11,2.8
Default,2014,4,12,8.0
Default,2014,4,13,0.0
Default,2014,4,14,0.0
Default,2014,4,15,0.0
Default,2014,4,16,0.2
Default,2014,4,17,28.8
Default,2014,4,18,0.0
Default,2014,4,19,0.0
Default,2014,4,20,0.2
Default,2014,4,21,5.2
Default,2014,4,22,0.0
Default,2014,4,23,0.0
Default,2014,4,24,2.2
Default,2014,4,25,0.0
Default,2014,4,26,0.0
Default,2014,4,27,0.2
Default,2014,4,28,0.2
Default,2014,4,29,4.8
Default,2014,4,30,13.4
Default,2014,5,1,0.4
Default,2014,5,2,0.0
Default,2014,5,3,0.0
Default,2014,5,4,1.4
Default,2014,5,5,0.0
Default,2014,5,6,0.2
Default,2014,5,7,18.4
Default,2014,5,8,10.6
Default,2014,5,9,1.4
Default,2014,5,10,0.0
Default,2014,5,11,0.0
Default,2014,5,12,0.4
Default,2014,5,13,0.0
Default,2014,5,14,1.6
Default,2014,5,15,12.2
Default,2014,5,16,20.2
Default,2014,5,17,0.0
Default,2014,5,18,22.4
Default,2014,5,19,8.0
Default,2014,5,20,2.4
Default,2014,5,21,0.0
Default,2014,5,22,2.0
Default,2014,5,23,3.0
Default,2014,5,24,0.0
Default,2014,5,25,0.0
Default,2014,5,26,0.0
Default,2014,5,27,0.8
Default,2014,5,28,2.6
Default,2014,5,29,17.8
Default,2014,5,30,0.0
Default,2014,5,31,0.0
Default,2014,6,1,18.0
Default,2014,6,2,0.0
Default,2014,6,3,0.0
Default,2014,6,4,6.6
Default,2014,6,5,8.5
Default,2014,6,6,4.2
Default,2014,6,7,0.0
Default,2014,6,8,0.0
Default,2014,6,9,0.0
Default,2014,6,10,1.6
Default,2014,6,11,0.0
Default,2014,6,12,4.4
Default,2014,6,13,0.0
Default,2014,6,14,18.8
Default,2014,6,15,0.0
Default,2014,6,16,0.0
Default,2014,6,17,0.0
Default,2014,6,18,2.4
Default,2014,6,19,3.2
Default,2014,6,20,0.0
Default,2014,6,21,0.0
Default,2014,6,22,0.0
Default,2014,6,23,0.0
Default,2014,6,24,1.0
Default,2014,6,25,0.0
Default,2014,6,26,0.0
Default,2014,6,27,0.0
Default,2014,6,28,0.0
Default,2014,6,29,0.0
Default,2014,6,30,2.4
Default,2014,7,1,0.0
Default,2014,7,2,0.0
Default,2014,7,3,0.2
Default,2014,7,4,19.4
Default,2014,7,5,0.8
Default,2014,7,6,2.2
Default,2014,7,7,3.6
Default,2014,7,8,12.6
Default,2014,7,9,12.6
Default,2014,7,10,0.2
Default,2014,7,11,26.8
Default,2014,7,12,0.0
Default,2014,7,13,0.0
Default,2014,7,14,0.0
Default,2014,7,15,0.0
Default,2014,7,16,0.0
Default,2014,7,17,7.8
Default,2014,7,18,0.0
Default,2014,7,19,0.6
Default,2014,7,20,0.0
Default,2014,7,21,0.0
Default,2014,7,22,0.0
Default,2014,7,23,0.0
Default,2014,7,24,0.0
Default,2014,7,25,0.0
Default,2014,7,26,0.0
Default,2014,7,27,27.8
Default,2014,7,28,0.0
Default,2014,7,29,29.0
Default,2014,7,30,4.0
Default,2014,7,31,1.0
Default,2014,8,1,0.0
Default,2014,8,2,11.8
Default,2014,8,3,0.0
Default,2014,8,4,1.2
Default,2014,8,5,7.4
Default,2014,8,6,0.4
Default,2014,8,7,9.2
Default,2014,8,8,2.0
Default,2014,8,9,0.0
Default,2014,8,10,0.0
Default,2014,8,11,0.0
Default,2014,8,12,1.4
Default,2014,8,13,2.4
Default,2014,8,14,41.2
Default,2014,8,15,0.6
Default,2014,8,16,0.0
Default,2014,8,17,0.0
Default,2014,8,18,10.4
Default,2014,8,19,0.0
Default,2014,8,20,12.0
Default,2014,8,21,1.6
Default,2014,8,22,0.0
Default,2014,8,23,0.8
Default,2014,8,24,0.0
Default,2014,8,25,7.2
Default,2014,8,26,44.2
Default,2014,8,27,8.4
Default,2014,8,28,38.8
Default,2014,8,29,39.4
Default,2014,8,30,0.0
Default,2014,8,31,0.6
Default,2014,9,1,0.0
Default,2014,9,2,0.0
Default,2014,9,3,9.2
Default,2014,9,4,0.0
Default,2014,9,5,0.0
Default,2014,9,6,0.0
Default,2014,9,7,0.8
Default,2014,9,8,0.0
Default,2014,9,9,1.0
Default,2014,9,10,3.2
Default,2014,9,11,1.4
Default,2014,9,12,0.0
Default,2014,9,13,0.0
Default,2014,9,14,0.0
Default,2014,9,15,0.0
Default,2014,9,16,0.0
Default,2014,9,17,0.0
Default,2014,9,18,0.0
Default,2014,9,19,0.0
Default,2014,9,20,34.6
Default,2014,9,21,0.6
Default,2014,9,22,0.0
Default,2014,9,23,0.0
Default,2014,9,24,9.4
Default,2014,9,25,23.4
Default,2014,9,26,0.0
Default,2014,9,27,0.0
Default,2014,9,28,0.0
Default,2014,9,29,0.0
Default,2014,9,30,0.0
Default,2014,10,1,0.0
Default,2014,10,2,0.0
Default,2014,10,3,0.0
Default,2014,10,4,6.6
Default,2014,10,5,0.0
Default,2014,10,6,0.0
Default,2014,10,7,0.0
Default,2014,10,8,0.0
Default,2014,10,9,0.0
Default,2014,10,10,0.0
Default,2014,10,11,0.0
Default,2014,10,12,0.0
Default,2014,10,13,0.0
Default,2014,10,14,0.0
Default,2014,10,15,0.0
Default,2014,10,16,32.6
Default,2014,10,17,2.4
Default,2014,10,18,2.8
Default,2014,10,19,0.0
Default,2014,10,20,0.0
Default,2014,10,21,4.6
Default,2014,10,22,6.0
Default,2014,10,23,0.0
Default,2014,10,24,0.0
Default,2014,10,25,0.0
Default,2014,10,26,0.0
Default,2014,10,27,32.8
Default,2014,10,28,3.2
Default,2014,10,29,0.0
Default,2014,10,30,11.6
Default,2014,10,31,17.4
Default,2014,11,1,4.4
Default,2014,11,2,0.0
Default,2014,11,3,0.0
Default,2014,11,4,0.0
Default,2014,11,5,20.6
Default,2014,11,6,12.4
Default,2014,11,7,10.4
Default,2014,11,8,50.4
Default,2014,11,9,4.4
Default,2014,11,10,1.4
Default,2014,11,11,5.0
Default,2014,11,12,0.4
Default,2014,11,13,64.6
Default,2014,11,14,0.0
Default,2014,11,15,13.6
Default,2014,11,16,8.0
Default,2014,11,17,0.2
Default,2014,11,18,7.6
Default,2014,11,19,0.0
Default,2014,11,20,0.0
Default,2014,11,21,0.2
Default,2014,11,22,1.6
Default,2014,11,23,3.2
Default,2014,11,24,1.6
Default,2014,11,25,0.2
Default,2014,11,26,39.4
Default,2014,11,27,0.0
Default,2014,11,28,0.6
Default,2014,11,29,0.6
Default,2014,11,30,0.0
Default,2014,12,1,26.4
Default,2014,12,2,0.0
Default,2014,12,3,0.0
Default,2014,12,4,18.8
Default,2014,12,5,0.0
Default,2014,12,6,27.4
Default,2014,12,7,35.2
Default,2014,12,8,0.0
Default,2014,12,9,0.0
Default,2014,12,10,0.0
Default,2014,12,11,0.0
Default,2014,12,12,0.0
Default,2014,12,13,0.0
Default,2014,12,14,0.0
Default,2014,12,15,0.0
Default,2014,12,16,5.0
Default,2014,12,17,17.6
Default,2014,12,18,0.0
Default,2014,12,19,15.6
Default,2014,12,20,0.4
Default,2014,12,21,0.4
Default,2014,12,22,0.6
Default,2014,12,23,0.2
Default,2014,12,24,0.6
Default,2014,12,25,37.6
Default,2014,12,26,47.0
Default,2014,12,27,10.6
Default,2014,12,28,0.2
Default,2014,12,29,2.0
Default,2014,12,30,0.0
Default,2014,12,31,0.0
